species,First Recorded Occurence (Ma),Last Recorded Occurence (Ma),First Recorded Occurence Date(s) (Ma) and Reference(s),Last Recorded Occurence Date(s) (Ma) and Reference(s),Ancestor,Morphogroup,Morphogroup Reference,Ecogroup(s),Ecogroup Reference(s),Type
Acarinina africana,56,55.85,Datum B Acarinina sibaiyaensis of TimeScale Creator (2020) = 56.00,Datum B Pseudohastigerina wilcoxensis of TimeScale Creator (2020) = 55.85,Acarinina sibaiyaensis,17,Berggren et al. (2006a),1,No data,Macro
Acarinina alticonica,53.68,46.92,Berggren et al. (2006a) = 53.68,Berggren et al. (2006a) = 46.92,Acarinina soldadoensis,17,Berggren et al. (2006a),1,No data,Macro
Acarinina angulosa,56.61,46.36,Berggren et al. (2006a) = 56.61,Berggren et al. (2006a) = 46.36,Acarinina soldadoensis,17,Berggren et al. (2006a),1,No data,Macro
Acarinina aspensis,50.38,48.54,Berggren et al. (2006a) = 50.38,Berggren et al. (2006a) = 48.54,Acarinina pentacamerata,17,Berggren et al. (2006a),1,No data,Macro
Acarinina boudreauxi,50.55,43.36,First recorded occurence date extension Luciani and Giusberti (2014) = 50.55. Berggren et al. (2006a) = 49.75,Berggren et al. (2006a) = 43.36,Acarinina pseudotopilensis,17,Berggren et al. (2006a),1,No data,Macro
Acarinina bullbrooki,50.55,40.4,Datum B Acarinina bullbrooki of Luciani & Giusberti (2014) = 50.55,Datum T Acarinina bullbrooki of TimeScale Creator (2020) = 40.40,Acarinina boudreauxi,17,Berggren et al. (2006a),1,"Boersma (1984), Pearson et al. (1993), Pearson et al. (2001a)",Macro
Acarinina coalingensis,57.79,43.8,Datum B Acarinina coalingensis of TimeScale Creator (2020) = 57.79,Berggren et al. (2006a) = 50.07. Last recorded occurence date extension Fayolle and Wade (2021) = 43.80,Acarinina nitida,17,Olsson et al. (1999),1,"Pearson et al. (1993), Pearson et al. (2001a)",Macro
Acarinina collactea,52.4,23.41,Datum B Acarinina collactea of Luciani and Giusberti (2014) = 52.40,Wade and Hernitz Kucenjak (2018) = 23.41,Acarinina pentacamerata,17,Berggren et al. (2006a),1,"Pearson et al. (1993), Pearson et al. (2001a)",Macro
Acarinina cuneicamerata,51.7,43.69,Datum B Acarinina cuneicamerata of Luciani and Giusberti (2014) = 51.70,Berggren et al. (2006a) = 43.69,Acarinina angulosa,17,Berggren et al. (2006a),1,"Boersma et al. (1987), Pearson et al. (2001a)",Macro
Acarinina echinata,42.86,28.56,Berggren et al. (2006a) = 42.86,Wade and Hernitz Kucenjak (2018) = 28.56,Acarinina pseudosubsphaerica,17,Berggren et al. (2006a),1,No data,Macro
Acarinina esnaensis,57.66,51.2,"Datum T Acarinina nitida [including ""A. acarinata""] of TimeScale Creator (2020) = 57.66",Berggren et al. (2006a) = 51.20,Acarinina nitida,17,Berggren et al. (2006a),1,No data,Macro
